,Small-Low,Small-High,Big-Low,Big-High,Market ,Riskfree Rate
195209,0.21,-2.11,-1.70,-2.40,-1.87,0.16
195210,-0.73,-1.97,-0.75,-0.40,-0.52,0.14
195211,5.55,6.06,6.27,7.66,6.04,0.1
195212,1.91,1.72,3.14,3.70,3.09,0.16
195301,3.75,3.92,-0.91,1.55,-0.18,0.16
195302,1.33,1.75,-0.22,-0.80,-0.13,0.14
195303,-1.72,-1.99,-1.21,-2.55,-1.25,0.18
195304,-3.07,-1.13,-2.97,-1.85,-2.67,0.16
195305,0.72,0.71,0.89,1.36,0.69,0.17
195306,-3.18,-3.99,-1.70,-1.84,-1.71,0.18
195307,0.85,1.47,2.98,1.88,2.55,0.15
195308,-3.22,-6.28,-3.97,-8.00,-4.35,0.17
195309,0.02,-2.27,0.90,-1.65,0.36,0.16
195310,3.14,3.17,5.08,4.68,4.73,0.13
195311,1.55,1.28,3.35,3.27,2.91,0.08
195312,0.27,-2.74,0.52,-2.14,0.16,0.13
195401,4.64,8.24,4.46,7.88,5.24,0.11
195402,1.12,1.44,1.65,0.77,1.74,0.07
195403,2.65,2.25,4.24,1.72,3.73,0.08
195404,-0.26,0.29,5.30,4.00,4.36,0.09
195405,3.95,5.09,2.86,6.64,3.14,0.05
195406,0.61,1.39,1.84,1.01,1.13,0.06
195407,5.62,9.15,4.30,8.99,5.04,0.05
195408,-0.19,-0.89,-2.99,-4.99,-2.29,0.05
195409,2.97,4.69,6.86,6.46,6.48,0.09
195410,0.52,-0.70,-2.32,0.34,-1.6,0.07
195411,7.15,9.60,9.53,15.80,9.44,0.06
195412,7.43,11.40,4.29,11.74,5.56,0.08
195501,1.54,2.39,0.04,3.55,0.68,0.08
195502,3.77,4.64,3.04,3.40,3.11,0.09
195503,-0.69,0.69,-0.31,2.21,-0.06,0.1
195504,1.34,2.63,4.10,4.43,3.21,0.1
195505,0.44,0.40,1.88,0.20,1.07,0.14
195506,2.05,3.54,6.49,8.84,6.65,0.1
195507,-1.63,1.29,2.05,0.40,2,0.1
195508,-0.07,0.26,0.62,1.45,0.37,0.16
195509,-0.72,-0.35,0.20,-2.30,-0.2,0.16
195510,-1.44,-1.29,-3.08,-3.28,-2.5,0.18
195511,6.00,5.26,7.98,9.72,7.2,0.17
195512,3.47,2.57,1.88,-1.70,1.67,0.18
195601,-2.33,-1.72,-3.99,-2.36,-2.81,0.22
195602,1.94,2.38,4.97,3.46,3.96,0.19
195603,3.43,5.12,7.17,5.20,6.79,0.15
195604,1.28,0.08,-0.03,0.81,0.47,0.19
